Ribosomal protein L11, RNA binding domain	PF00298
DNA polymerase epsilon subunit B. DNA polymerase epsilon is essential for cell viability and chromosomal DNA replication in budding yeast. In addition, DNA polymerase epsilon may be involved in DNA repair and cell-cycle checkpoint control. The enzyme cons	PF04042
SecE/Sec61-gamma subunits of protein translocation complex. SecE is part of the SecYEG complex in bacteria which translocates proteins from the cytoplasm. In eukaryotes the complex, made from Sec61-gamma and Sec61-alpha translocates protein from the cytop	PF00584
ER lumen protein retaining receptor	PF00810
ARD/ARD' family. The two acireductone dioxygenase enzymes (ARD and ARD', previously known as E-2 and E-2') from Klebsiella pneumoniae share the same amino acid sequence, but bind different metal ions: ARD binds Ni2+, ARD' binds Fe2+. ARD and ARD' can be	PF03079
Protein of unknown function (DUF229). Members of this family are uncharacterised. They are 500-1200 amino acids in length and share a long region conservation that probably corresponds to several domains	PF02995
CG-1 domain. CG-1 domains are highly conserved domains of about 130 amino-acid residues containing a predicted bipartite NLS and named after a partial cDNA clone isolated from parsley encoding a sequence-specific DNA-binding protein. CG-1 domains are ass	PF03859
Autophagocytosis associated protein, C-terminal domain. Autophagocytosis is a starvation-induced process responsible for transport of cytoplasmic proteins to the vacuole	PF03987
Ferric reductase like transmembrane component. This family includes a common region in the transmembrane proteins mammalian cytochrome B-245 heavy chain (gp91-phox), ferric reductase transmembrane component in yeast and respiratory burst oxidase from mous	PF01794
PI3-kinase family, p85-binding domain	PF02192
GDA1/CD39 (nucleoside phosphatase) family	PF01150
Myosin N-terminal SH3-like domain. This domain has an SH3-like fold. It is found at the N-terminus of many but not all myosins. The function of this domain is unknown	PF02736
Thioesterase domain. Peptide synthetases are involved in the non-ribosomal synthesis of peptide antibiotics. Next to the operons encoding these enzymes, in almost all cases, are genes that encode proteins that have similarity to the type II fatty acid th	PF00975
Slow voltage-gated potassium channel	PF02060
Histidine biosynthesis protein. Proteins involved in steps 4 and 6 of the histidine biosynthesis pathway are contained in this family. Histidine is formed by several complex and distinct biochemical reactions catalysed by eight enzymes. The enzymes in thi	PF00977
HhH-GPD superfamily base excision DNA repair protein. This family contains a diverse range of structurally related DNA repair proteins. The superfamily is called the HhH-GPD family after its hallmark Helix-hairpin-helix and Gly/Pro rich loop followed by a	PF00730
Glucose-6-phosphate dehydrogenase, C-terminal domain	PF02781
BRO1-like domain. This functionally uncharacterised domain is found in a number of signal transduction proteins, including Rhophilin and BRO1	PF03097
Structural protein 2. This family represents structural protein 2 of the hepatitis E virus. The high basic amino acid content of this protein has lead to the suggestion of a role in viral genomic RNA encapsidation	PF03014
Ribosomal protein S26e	PF01283
Armadillo/beta-catenin-like repeat. Approx. 40 amino acid repeat. Tandem repeats form super-helix of helices that is proposed to mediate interaction of beta-catenin with its ligands. CAUTION: This family does not contain all known armadillo repeats	PF00514
Kelch motif. The kelch motif was initially discovered in Kelch. In this protein there are six copies of the motif. It has been shown that Kelch is related to Galactose Oxidase for which a structure has been solved. The kelch motif forms a beta sheet. Sev	PF01344
Glycyl-tRNA synthetase beta subunit	PF02092
Bacterial dnaA protein	PF00308
DNA polymerase alpha subunit B. The B subunit of the DNA polymerase alpha plays an essential role at the initial stage of DNA replication in S. cerevisiae and is phosphorylated in a cell cycle-dependent manner	PF04058
STAT protein, DNA binding domain. STAT proteins (Signal Transducers and Activators of Transcription) are a family of transcription factors that are specifically activated to regulate gene transcription when cells encounter cytokines and growth factors. Th	PF02864
PRP38 family. Members of this family are related to the pre mRNA splicing factor PRP38 from yeast. Therefore all the members of this family could be involved in splicing. This conserved region could be involved in RNA binding. The putative domain is about	PF03371
Phosphoglucose isomerase. Phosphoglucose isomerase catalyses the interconversion of glucose-6-phosphate and fructose-6-phosphate	PF00342
Sm protein	PF01423
pfam02922, isoamylase_N, Isoamylase N-terminal domain. This domain is found in a range of enzymes that act on branched substrates - isoamylase, pullulanase and branching enzyme. This family also contains the beta subunit of 5' AMP activated kinase	PF02922
Sema domain	PF01403
Lipoprotein amino terminal region. This family contains regions from: Vitellogenin, Microsomal triglyceride transfer protein and apolipoprotein B-100. These proteins are all involved in lipid transport. This family contains the LV1n chain from lipovitelli	PF01347
Cytochrome c oxidase subunit III	PF00510
Pyridoxal-dependent decarboxylase, C-terminal sheet domain. These pyridoxal-dependent decarboxylases act on ornithine, lysine, arginine and related substrates	PF00278
Fanconi anaemia group C protein	PF02106
Zinc-binding dehydrogenase	PF00107
Integral membrane protein DUF110. This archaebacterial protein family has no known function. Some members of this family are annotated as FlaJ, however we can find no supporting evidence for this annotation	PF01961
Putative phosphatase regulatory subunit. This family consists of several eukaryotic proteins that are thought to be involved in the regulation of glycogen metabolism. For instance, the mouse PTG protein has been shown to interact with glycogen synthase, p	PF03370
Uncharacterized protein family UPF0054	PF02130
Ribosomal protein L3	PF00297
Sodium:sulfate symporter transmembrane region. Some members in this family belong to the subfamily SODIT1	PF00939
Alpha amylase, catalytic domain. Alpha amylase is classified as family 13 of the glycosyl hydrolases. The structure is an 8 stranded alpha/beta barrel containing the active site, interrupted by a ~70 a.a. calcium-binding domain protruding between beta str	PF00128
4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family	PF00142
Ribosomal protein L5	PF00281
Small cytokines (intecrine/chemokine), interleukin-8 like. Includes a number of secreted growth factors and interferons involved in mitogenic, chemotactic, and inflammatory activity. Structure contains two highly conserved disulfide bonds	PF00048
CLN3 protein. This is a family of proteins from the CLN3 gene. A missense mutation of glutamic acid (E) to lysine (K) at position 295 in the human protein has been implicated in Juvenile neuronal ceroid lipofuscinosis (Batten disease)	PF02487
Ribosomal protein L6	PF00347
Copper amine oxidase, N3 domain. This domain is the second or third structural domain in copper amine oxidases, it is known as the N3 domain. Its function is uncertain. The catalytic domain can be found in pfam01179. Copper amine oxidases are a ubiquitou	PF02728
TAP42-like family. The TOR signalling pathway activates a cell-growth program in response to nutrients. TIP41 (PFAM:PF04176) interacts with TAP42 and negatively regulates the TOR signaling pathway	PF04177
Competence-damaged protein. CinA is the first gene in the competence-inducible (cin) operon, and is thought to be specifically required at some stage in the process of transformation. This Pfam family consists of putative competence-damaged proteins from	PF02464
SCO1/SenC. This family is involved in biogenesis of respiratory and photosynthetic systems. SCO1 is required for a post-translational step in the accumulation of subunits COXI and COXII of cytochrome c oxidase. SenC is required for optimal cytochrome c ox	PF02630
HIN-200/IF120x domain. This domain has no know function. It is found in one or two copies per protein, and is found associated with the PAAD/DAPIN domain pfam02758	PF02760
PUA domain. The PUA domain named after Pseudouridine synthase and Archaeosine transglycosylase, was detected in archaeal and eukaryotic pseudouridine synthases, archaeal archaeosine synthases, a family of predicted ATPases that may be involved in RNA modi	PF01472
Protein phosphatase 2A regulatory B subunit (B56 family)	PF01603
Vacuolar sorting protein 9 (VPS9) domain	PF02204
Shikimate kinase	PF01202
Insulin-like growth factor binding proteins	PF00219
Endoplasmic Reticulum Oxidoreductin 1 (ERO1). Members of this family are required for the formation of disulphide bonds in the ER	PF04137
Domain of unknown function DUF59. This family includes prokaryotic proteins of unknown function. The family also includes PhaH from Pseudomonas putida. PhaH forms a complex with PhaF, PhaG and PhaI, which hydroxylates phenylacetic acid to 2-hydroxyphenyla	PF01883
Copper type II ascorbate-dependent monooxygenase, C-terminal domain. The N and C-terminal domains of members of this family adopt the same PNGase F-like fold	PF03712
Hantavirus glycoprotein G2. The medium (M) genome segment of hantaviruses (family Bunyaviridae) encodes the two virion glycoproteins. G1 and G2, as a precursor protein in the complementary sense RNA	PF01561
Myosin tail. The myosin molecule is a multi-subunit complex made up of two heavy chains and four light chains it is a fundamental contractile protein found in all eukaryote cell types. This family consists of the coiled-coil myosin heavy chain tail region	PF01576
LIM domain. This family represents two copies of the LIM structural domain	PF00412
